,,False,True,NA
userData,age,47.515,46.105,45.4
userData,height,168.64,170.263,165.84
userData,weight,93.991,93.303,85.502
article,0,4.346,2.526,1.3
article,1,5.451,5.263,6.0
article,2,4.159,3.553,2.6
article,3,3.856,3.447,3.8
article,4,3.244,2.658,1.4
article,5,3.228,2.421,1.9
article,6,2.579,1.974,3.6
diary,0,0.936,0.895,1.6
diary,1,8.59,9.368,7.2
diary,2,9.138,11.316,8.5
diary,3,4.136,4.368,5.6
diary,4,2.669,0.763,3.4
diary,5,1.787,1.421,1.6
diary,6,1.628,0.684,1.8
message,0,5.464,5.763,5.2
message,1,15.897,17.605,13.1
message,2,11.769,12.447,6.1
message,3,7.887,7.921,2.7
message,4,5.949,5.868,0.9
message,5,4.467,4.868,1.1
message,6,3.141,4.421,0.8
recipe,0,1.131,1.105,0.0
recipe,1,0.805,0.816,0.1
recipe,2,0.164,0.184,1.0
recipe,3,0.215,0.079,0.0
recipe,4,0.105,0.0,0.0
recipe,5,0.136,0.0,0.0
recipe,6,0.015,0.0,0.0
weight,0,1.556,1.684,0.7
weight,1,4.664,3.895,3.0
weight,2,3.308,2.816,2.2
weight,3,2.697,2.053,2.4
weight,4,2.031,1.684,1.2
weight,5,1.723,1.579,1.3
weight,6,1.508,1.105,1.1
numberEvents,0,7.969,6.211,3.6
numberEvents,1,19.51,19.342,16.3
numberEvents,2,16.769,17.868,14.3
numberEvents,3,10.905,9.947,11.8
numberEvents,4,8.049,5.105,6.0
numberEvents,5,6.874,5.421,4.8
numberEvents,6,5.731,3.763,6.5
delta_numberEvents,0,0.0,0.0,0.0
delta_numberEvents,1,11.541,13.132,12.7
delta_numberEvents,2,-2.741,-1.474,-2.0
delta_numberEvents,3,-5.864,-7.921,-2.5
delta_numberEvents,4,-2.856,-4.842,-5.8
delta_numberEvents,5,-1.174,0.316,-1.2
delta_numberEvents,6,-1.144,-1.658,1.7
messageCount_group,0,4.405,4.789,4.9
messageCount_group,1,13.744,14.263,11.4
messageCount_group,2,9.605,9.0,5.0
messageCount_group,3,6.472,6.5,2.1
messageCount_group,4,4.685,4.184,0.7
messageCount_group,5,3.692,3.632,0.9
messageCount_group,6,2.49,3.053,0.7
messageCount_private,0,1.036,0.921,0.3
messageCount_private,1,2.077,3.105,1.4
messageCount_private,2,2.128,3.342,1.1
messageCount_private,3,1.385,1.395,0.6
messageCount_private,4,1.244,1.658,0.2
messageCount_private,5,0.767,1.184,0.2
messageCount_private,6,0.623,1.342,0.1
sentiment_group,0,0.197,0.2,0.187
sentiment_group,1,0.189,0.193,0.116
sentiment_group,2,0.163,0.141,0.092
sentiment_group,3,0.163,0.136,0.084
sentiment_group,4,0.166,0.19,0.103
sentiment_group,5,0.156,0.147,0.189
sentiment_group,6,0.176,0.156,0.087
sentiment_private,0,0.164,0.194,0.486
sentiment_private,1,0.177,0.192,0.167
sentiment_private,2,0.153,0.23,0.155
sentiment_private,3,0.142,0.16,0.155
sentiment_private,4,0.142,0.134,0.176
sentiment_private,5,0.133,0.188,0.065
sentiment_private,6,0.145,0.053,0.061
questionsAsked_group,0,0.759,0.921,1.1
questionsAsked_group,1,1.859,1.684,2.1
questionsAsked_group,2,1.149,1.158,1.6
questionsAsked_group,3,0.808,0.921,0.2
questionsAsked_group,4,0.531,1.105,0.2
questionsAsked_group,5,0.454,0.579,0.3
questionsAsked_group,6,0.249,0.316,0.3
questionsAsked_private,0,0.354,0.368,0.1
questionsAsked_private,1,0.595,0.921,0.6
questionsAsked_private,2,0.515,0.868,0.3
questionsAsked_private,3,0.328,0.395,0.3
questionsAsked_private,4,0.241,0.237,0.0
questionsAsked_private,5,0.159,0.289,0.1
questionsAsked_private,6,0.103,0.316,0.0
emojisUsed_group,0,1.205,1.421,1.3
emojisUsed_group,1,3.531,3.711,2.1
emojisUsed_group,2,2.418,2.105,1.4
emojisUsed_group,3,1.777,1.395,0.0
emojisUsed_group,4,1.069,0.711,0.0
emojisUsed_group,5,0.938,1.132,0.1
emojisUsed_group,6,0.736,0.684,0.0
emojisUsed_private,0,0.144,0.158,0.0
emojisUsed_private,1,0.272,0.526,0.6
emojisUsed_private,2,0.356,0.763,0.2
emojisUsed_private,3,0.179,0.211,0.0
emojisUsed_private,4,0.151,0.184,0.0
emojisUsed_private,5,0.103,0.184,0.0
emojisUsed_private,6,0.108,0.237,0.0
mentionedScales_group,0,0.082,0.026,0.2
mentionedScales_group,1,0.103,0.053,0.2
mentionedScales_group,2,0.103,0.0,0.0
mentionedScales_group,3,0.085,0.079,0.3
mentionedScales_group,4,0.072,0.026,0.0
mentionedScales_group,5,0.054,0.079,0.1
mentionedScales_group,6,0.044,0.053,0.1
mentionedScales_private,0,0.028,0.026,0.0
mentionedScales_private,1,0.051,0.053,0.2
mentionedScales_private,2,0.041,0.053,0.0
mentionedScales_private,3,0.031,0.0,0.0
mentionedScales_private,4,0.036,0.053,0.0
mentionedScales_private,5,0.018,0.026,0.0
mentionedScales_private,6,0.028,0.026,0.0
mentionedTracker_group,0,0.044,0.0,0.0
mentionedTracker_group,1,0.049,0.0,0.1
mentionedTracker_group,2,0.026,0.053,0.0
mentionedTracker_group,3,0.021,0.0,0.0
mentionedTracker_group,4,0.005,0.0,0.0
mentionedTracker_group,5,0.0,0.0,0.1
mentionedTracker_group,6,0.01,0.0,0.0
mentionedTracker_private,0,0.021,0.0,0.0
mentionedTracker_private,1,0.038,0.0,0.0
mentionedTracker_private,2,0.015,0.0,0.0
mentionedTracker_private,3,0.028,0.0,0.0
mentionedTracker_private,4,0.008,0.0,0.0
mentionedTracker_private,5,0.003,0.0,0.0
mentionedTracker_private,6,0.008,0.0,0.0
delta_messageCount_group,0,0.0,0.0,0.0
delta_messageCount_group,1,9.338,9.474,6.5
delta_messageCount_group,2,-4.138,-5.263,-6.4
delta_messageCount_group,3,-3.133,-2.5,-2.9
delta_messageCount_group,4,-1.787,-2.316,-1.4
delta_messageCount_group,5,-0.992,-0.553,0.2
delta_messageCount_group,6,-1.203,-0.579,-0.2
delta_messageCount_private,0,0.0,0.0,0.0
delta_messageCount_private,1,1.041,2.184,1.1
delta_messageCount_private,2,0.051,0.237,-0.3
delta_messageCount_private,3,-0.744,-1.947,-0.5
delta_messageCount_private,4,-0.141,0.263,-0.4
delta_messageCount_private,5,-0.477,-0.474,0.0
delta_messageCount_private,6,-0.144,0.158,-0.1
delta_sentiment_group,0,0.0,0.0,0.0
delta_sentiment_group,1,-0.007,-0.021,-0.019
delta_sentiment_group,2,-0.015,-0.023,-0.014
delta_sentiment_group,3,-0.002,-0.018,-0.01
delta_sentiment_group,4,-0.003,0.041,0.003
delta_sentiment_group,5,-0.002,-0.01,0.021
delta_sentiment_group,6,0.009,0.018,-0.02
delta_sentiment_private,0,0.0,0.0,0.0
delta_sentiment_private,1,0.0,0.007,-0.132
delta_sentiment_private,2,-0.005,0.016,0.005
delta_sentiment_private,3,0.009,-0.008,0.009
delta_sentiment_private,4,-0.007,0.001,0.004
delta_sentiment_private,5,0.004,0.017,0.007
delta_sentiment_private,6,0.001,-0.007,0.0
delta_questionsAsked_group,0,0.0,0.0,0.0
delta_questionsAsked_group,1,1.1,0.763,1.0
delta_questionsAsked_group,2,-0.71,-0.526,-0.5
delta_questionsAsked_group,3,-0.341,-0.237,-1.4
delta_questionsAsked_group,4,-0.277,0.184,0.0
delta_questionsAsked_group,5,-0.077,-0.526,0.1
delta_questionsAsked_group,6,-0.205,-0.263,0.0
delta_questionsAsked_private,0,0.0,0.0,0.0
delta_questionsAsked_private,1,0.241,0.553,0.5
delta_questionsAsked_private,2,-0.079,-0.053,-0.3
delta_questionsAsked_private,3,-0.187,-0.474,0.0
delta_questionsAsked_private,4,-0.087,-0.158,-0.3
delta_questionsAsked_private,5,-0.082,0.053,0.1
