,user,churnedAfterSix,weekNumber,article,diary,message,recipe,weight,numberEvents,delta_numberEvents,messageCount_group,messageCount_private,sentiment_group,sentiment_private,questionsAsked_group,questionsAsked_private,emojisUsed_group,emojisUsed_private,mentionedScales_group,mentionedScales_private,mentionedTracker_group,mentionedTracker_private,delta_messageCount_group,delta_messageCount_private,delta_sentiment_group,delta_sentiment_private,delta_questionsAsked_group,delta_questionsAsked_private,delta_emojisUsed_group,delta_emojisUsed_private,delta_mentionedScales_group,delta_mentionedScales_private,delta_mentionedTracker_group,delta_mentionedTracker_private
0,5a2e417806d240124a6185a0,NA,0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.464,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5a2e417806d240124a6185a0,NA,1,5.0,1.0,0.0,0.0,2.0,8.0,7.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5a2e417806d240124a6185a0,NA,2,0.0,0.0,0.0,0.0,1.0,1.0,-7.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5a2e417806d240124a6185a0,NA,3,4.0,0.0,2.0,0.0,2.0,6.0,5.0,0.0,2.0,,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5a2e417806d240124a6185a0,NA,4,0.0,0.0,0.0,0.0,1.0,1.0,-5.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5a2e417806d240124a6185a0,NA,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5a2e417806d240124a6185a0,NA,6,14.0,0.0,0.0,0.0,1.0,15.0,14.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5a434efac3a72a107ce35c25,False,0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,2.0,2.0,0.729,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5a434efac3a72a107ce35c25,False,1,3.0,0.0,12.0,0.0,0.0,3.0,1.0,7.0,5.0,-0.093,0.165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,-0.822,-0.145,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5a434efac3a72a107ce35c25,False,2,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,1.0,0.0,0.612,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-5.0,0.705,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
