,,userData,userData,userData,article,article,article,article,article,article,article,diary,diary,diary,diary,diary,diary,diary,message,message,message,message,message,message,message,recipe,recipe,recipe,recipe,recipe,recipe,recipe,weight,weight,weight,weight,weight,weight,weight,numberEvents,numberEvents,numberEvents,numberEvents,numberEvents,numberEvents,numberEvents,delta_numberEvents,delta_numberEvents,delta_numberEvents,delta_numberEvents,delta_numberEvents,delta_numberEvents,delta_numberEvents,messageCount_group,messageCount_group,messageCount_group,messageCount_group,messageCount_group,messageCount_group,messageCount_group,messageCount_private,messageCount_private,messageCount_private,messageCount_private,messageCount_private,messageCount_private,messageCount_private,sentiment_group,sentiment_group,sentiment_group,sentiment_group,sentiment_group,sentiment_group,sentiment_group,sentiment_private,sentiment_private,sentiment_private,sentiment_private,sentiment_private,sentiment_private,sentiment_private,questionsAsked_group,questionsAsked_group,questionsAsked_group,questionsAsked_group,questionsAsked_group,questionsAsked_group,questionsAsked_group,questionsAsked_private,questionsAsked_private,questionsAsked_private,questionsAsked_private,questionsAsked_private,questionsAsked_private,questionsAsked_private,emojisUsed_group,emojisUsed_group,emojisUsed_group,emojisUsed_group,emojisUsed_group,emojisUsed_group,emojisUsed_group,emojisUsed_private,emojisUsed_private,emojisUsed_private,emojisUsed_private,emojisUsed_private,emojisUsed_private,emojisUsed_private,mentionedScales_group,mentionedScales_group,mentionedScales_group,mentionedScales_group,mentionedScales_group,mentionedScales_group,mentionedScales_group,mentionedScales_private,mentionedScales_private,mentionedScales_private,mentionedScales_private,mentionedScales_private,mentionedScales_private,mentionedScales_private,mentionedTracker_group,mentionedTracker_group,mentionedTracker_group,mentionedTracker_group,mentionedTracker_group,mentionedTracker_group,mentionedTracker_group,mentionedTracker_private,mentionedTracker_private,mentionedTracker_private,mentionedTracker_private,mentionedTracker_private,mentionedTracker_private,mentionedTracker_private,delta_messageCount_group,delta_messageCount_group,delta_messageCount_group,delta_messageCount_group,delta_messageCount_group,delta_messageCount_group,delta_messageCount_group,delta_messageCount_private,delta_messageCount_private,delta_messageCount_private,delta_messageCount_private,delta_messageCount_private,delta_messageCount_private,delta_messageCount_private,delta_sentiment_group,delta_sentiment_group,delta_sentiment_group,delta_sentiment_group,delta_sentiment_group,delta_sentiment_group,delta_sentiment_group,delta_sentiment_private,delta_sentiment_private,delta_sentiment_private,delta_sentiment_private,delta_sentiment_private,delta_sentiment_private,delta_sentiment_private,delta_questionsAsked_group,delta_questionsAsked_group,delta_questionsAsked_group,delta_questionsAsked_group,delta_questionsAsked_group,delta_questionsAsked_group,delta_questionsAsked_group,delta_questionsAsked_private,delta_questionsAsked_private,delta_questionsAsked_private,delta_questionsAsked_private,delta_questionsAsked_private,delta_questionsAsked_private,delta_questionsAsked_private,delta_emojisUsed_group,delta_emojisUsed_group,delta_emojisUsed_group,delta_emojisUsed_group,delta_emojisUsed_group,delta_emojisUsed_group,delta_emojisUsed_group,delta_emojisUsed_private,delta_emojisUsed_private,delta_emojisUsed_private,delta_emojisUsed_private,delta_emojisUsed_private,delta_emojisUsed_private,delta_emojisUsed_private,delta_mentionedScales_group,delta_mentionedScales_group,delta_mentionedScales_group,delta_mentionedScales_group,delta_mentionedScales_group,delta_mentionedScales_group,delta_mentionedScales_group,delta_mentionedScales_private,delta_mentionedScales_private,delta_mentionedScales_private,delta_mentionedScales_private,delta_mentionedScales_private,delta_mentionedScales_private,delta_mentionedScales_private,delta_mentionedTracker_group,delta_mentionedTracker_group,delta_mentionedTracker_group,delta_mentionedTracker_group,delta_mentionedTracker_group,delta_mentionedTracker_group,delta_mentionedTracker_group,delta_mentionedTracker_private,delta_mentionedTracker_private,delta_mentionedTracker_private,delta_mentionedTracker_private,delta_mentionedTracker_private,delta_mentionedTracker_private,delta_mentionedTracker_private
,,age,height,weight,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6,0,1,2,3,4,5,6
user,churnedAfterSix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a2e417806d240124a6185a0,NA,25,156.2,99.3,0.0,5.0,0.0,4.0,0.0,1.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,8.0,1.0,6.0,1.0,1.0,15.0,0.0,7.0,-7.0,5.0,-5.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.46393302467910563,0.46393302467910563,0.46393302467910563,0.46393302467910563,0.46393302467910563,0.46393302467910563,0.46393302467910563,0.12534820341459052,0.12534820341459052,0.12534820341459052,0.12534820341459052,0.12534820341459052,0.12534820341459052,0.12534820341459052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5a434efac3a72a107ce35c25,False,66,154.9,60.3,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,-3.0,0.0,1.0,3.0,-3.0,2.0,7.0,1.0,3.0,1.0,2.0,2.0,2.0,5.0,0.0,1.0,0.0,2.0,0.0,0.72886990497374,-0.09293066511572387,0.612372435695795,0.3539549024201827,0.7748271696689161,0.14294340085283502,0.0,0.3097355746395025,0.1647802045915758,0.21347956426214187,0.173050950526002,0.21347956426214187,0.20635152729148704,0.21347956426214187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-6.0,2.0,-2.0,1.0,0.0,0.0,3.0,-5.0,1.0,-1.0,2.0,-2.0,0.0,-0.8218005700894639,0.7053031008115189,-0.25841753327561234,0.4208722672487334,-0.631883768816081,-0.14294340085283502,0.0,-0.14495537004792672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5a4feb9c0fb3cc7e95f244b8,False,61,174.0,65.8,8.0,5.0,6.0,6.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,3.0,1.0,0.0,0.0,16.0,11.0,9.0,9.0,2.0,2.0,1.0,0.0,-5.0,-2.0,0.0,-7.0,0.0,-1.0,6.0,18.0,15.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.048167935903263494,0.04623857503290389,0.07261641930442966,0.05189033004042801,0.147776637755064,0.054070805245912415,0.054070805245912415,0.010050378152592,-0.05270764898120123,-0.021328635414304613,-0.021328635414304613,-0.021328635414304613,-0.021328635414304613,-0.021328635414304613,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-3.0,-12.0,-2.0,-1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.09440651093616739,0.02637784427152577,-0.020726089264001657,0.095886307714636,0.0,0.0,0.0,-0.06275802713379322,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,-3.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5a5b956b86ef893f9f93799a,False,55,172.7,80.7,0.0,16.0,6.0,6.0,6.0,6.0,6.0,0.0,23.0,18.0,18.0,20.0,20.0,16.0,3.0,15.0,4.0,5.0,14.0,4.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,1.0,1.0,0.0,46.0,26.0,27.0,29.0,27.0,23.0,0.0,46.0,-20.0,1.0,2.0,-2.0,-4.0,1.0,11.0,1.0,4.0,7.0,4.0,1.0,2.0,4.0,3.0,0.0,7.0,0.0,0.0,0.200174561182823,0.14702832700867,0.161579565680179,0.03649841226347251,0.22972939742100973,-0.0731207646847965,0.020106429133887,0.209896872029565,0.325332310564761,0.181306984815352,0.19636647930102524,0.068929749794423,0.19636647930102524,0.19636647930102524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-10.0,3.0,3.0,-3.0,-3.0,0.0,2.0,-1.0,-3.0,7.0,-7.0,0.0,0.0,-0.05314623417415301,0.01455123867150901,-0.1250811534167065,0.19323098515753723,-0.30285016210580623,0.0932271938186835,0.0,0.11543543853519597,-0.14402532574940896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5a75a465eab9185480e42453,True,61,162.6,98.9,0.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,25.0,16.0,2.0,0.0,4.0,0.0,3.0,10.0,8.0,14.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,3.0,3.0,2.0,1.0,1.0,10.0,36.0,25.0,11.0,8.0,11.0,7.0,0.0,26.0,-11.0,-14.0,-3.0,3.0,-4.0,3.0,7.0,6.0,12.0,4.0,8.0,5.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0.012784776832218334,0.32138025309196355,0.37248824442282485,0.10227705756760784,0.11266632171973875,0.11408804594599226,0.05810811697986742,0.19535220410077034,0.21054667815620134,0.21372609913311352,0.4343345396599595,0.19535220410077034,0.19535220410077034,-0.07719850054619301,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,6.0,-8.0,4.0,-3.0,0.0,3.0,-1.0,0.0,-2.0,0.0,1.0,0.0,0.3085954762597452,0.0511079913308613,-0.270211186855217,0.010389264152130914,0.0014217242262535013,-0.05597992896612484,0.0,0.0,0.0031794209769121784,0.22060844052684597,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5aa6d1995d2b4437b66358f1,False,46,198.1,91.2,0.0,5.0,5.0,3.0,11.0,1.0,10.0,0.0,13.0,12.0,0.0,4.0,0.0,0.0,7.0,32.0,32.0,7.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,9.0,16.0,16.0,9.0,7.0,35.0,34.0,12.0,31.0,17.0,19.0,0.0,28.0,-1.0,-22.0,19.0,-14.0,2.0,5.0,20.0,31.0,7.0,4.0,0.0,3.0,2.0,10.0,1.0,0.0,7.0,0.0,0.0,0.2600945507326692,0.10070838439968491,0.1786730080521729,0.017722576785533715,0.11182754277827175,0.14380310346638567,0.19379255804998166,0.28867513459481303,0.09381597814078421,0.165197835172465,0.13252422959039534,-0.01759202954648086,0.13252422959039534,0.13252422959039534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,11.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,-24.0,-3.0,-4.0,3.0,0.0,8.0,-9.0,-1.0,7.0,-7.0,0.0,0.0,-0.15938616633298427,0.07796462365248799,-0.1609504312666392,0.09410496599273804,0.0,0.0,0.0,-0.19485915645402882,0.07138185703168079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,-10.0,1.0,-2.0,0.0,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5acc6ac7fb798e3962d679b3,False,57,182.9,116.6,4.0,10.0,0.0,2.0,0.0,4.0,0.0,0.0,33.0,33.0,18.0,0.0,0.0,0.0,3.0,21.0,14.0,7.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,44.0,34.0,21.0,2.0,5.0,1.0,0.0,39.0,-10.0,-13.0,-19.0,3.0,-4.0,3.0,16.0,14.0,7.0,0.0,6.0,2.0,0.0,5.0,0.0,0.0,4.0,2.0,3.0,0.06238682753990101,0.16627011200511083,0.2027703496271565,0.14455622587140088,0.1257260878706917,0.17087335151584185,0.007499660664739005,0.2040284575859659,0.3046674420690506,0.2040284575859659,0.2040284575859659,0.05773384402994336,0.07842937798294801,0.37528316626192165,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-2.0,-7.0,-7.0,6.0,-4.0,0.0,5.0,-5.0,0.0,4.0,-2.0,1.0,0.0,0.10388328446520981,0.036500237622045684,-0.05821412375575563,0.0,0.0,-0.16337369085110284,0.0,0.0,0.0,0.0,0.0,0.02069553395300465,0.29685378827897363,0.0,4.0,-3.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,2.0,-2.0,0.0,0.0,8.0,-7.0,0.0,-1.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5ad7b7034a2e2a0628665c71,False,64,185.4,74.389,10.0,6.0,4.0,4.0,3.0,10.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,2.0,1.0,0.0,10.0,23.0,10.0,4.0,5.0,11.0,3.0,0.0,13.0,-13.0,-6.0,1.0,6.0,-8.0,11.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.13638743698036163,0.18644889743822401,0.11337159438519885,0.1391306611755145,0.14383464749482475,0.14383464749482475,0.14383464749482475,0.34537219061252894,0.34537219061252894,0.15855073570716985,0.5321936455178881,0.34537219061252894,0.34537219061252894,0.34537219061252894,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,-5.0,-2.0,0.0,0.0,0.0,0.0,6.0,-4.0,-2.0,0.0,0.0,0.0,0.05006146045786239,-0.07307730305302516,0.025759066790315657,0.0,0.0,0.0,0.0,0.0,0.0,0.37364290981071824,0.0,0.0,0.0,0.0,-4.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0.0,0.0,0.0,-3.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
