,week,features,nFalse,aveFalse,nTrue,aveTrue,pearsonsR,pval
3,0,article,390.0,4.346,38.0,2.526,-0.119,0.013
154,4,delta_sentiment_group,390.0,-0.003,38.0,0.041,0.106,0.028
75,2,sentiment_private,232.0,0.153,23.0,0.23,0.136,0.03
61,2,messageCount_private,390.0,2.128,38.0,3.342,0.102,0.035
93,6,questionsAsked_private,390.0,0.103,38.0,0.316,0.101,0.036
110,2,mentionedScales_group,390.0,0.103,38.0,0.0,-0.1,0.038
144,1,delta_messageCount_private,390.0,1.041,38.0,2.184,0.094,0.053
208,2,delta_mentionedTracker_group,390.0,-0.023,38.0,0.053,0.093,0.054
188,3,delta_emojisUsed_private,390.0,-0.177,38.0,-0.553,-0.093,0.056
146,3,delta_messageCount_private,390.0,-0.744,38.0,-1.947,-0.092,0.057
169,5,delta_questionsAsked_group,390.0,-0.077,38.0,-0.526,-0.087,0.073
65,6,messageCount_private,390.0,0.623,38.0,1.342,0.087,0.073
103,2,emojisUsed_private,390.0,0.356,38.0,0.763,0.085,0.078
60,1,messageCount_private,390.0,2.077,38.0,3.105,0.082,0.09
89,2,questionsAsked_private,390.0,0.515,38.0,0.868,0.081,0.094
42,4,numberEvents,390.0,8.049,38.0,5.105,-0.08,0.098
84,4,questionsAsked_group,390.0,0.531,38.0,1.105,0.08,0.1
186,1,delta_emojisUsed_private,390.0,0.128,38.0,0.368,0.079,0.102
195,3,delta_mentionedScales_group,390.0,-0.018,38.0,0.079,0.075,0.122
8,5,article,390.0,3.228,38.0,2.421,-0.074,0.126
168,4,delta_questionsAsked_group,390.0,-0.277,38.0,0.184,0.073,0.134
79,6,sentiment_private,102.0,0.145,8.0,0.053,-0.14,0.144
123,1,mentionedTracker_group,390.0,0.049,38.0,0.0,-0.067,0.165
88,1,questionsAsked_private,390.0,0.595,38.0,0.921,0.067,0.166
197,5,delta_mentionedScales_group,390.0,-0.018,38.0,0.053,0.067,0.169
174,3,delta_questionsAsked_private,390.0,-0.187,38.0,-0.474,-0.066,0.172
209,3,delta_mentionedTracker_group,390.0,-0.005,38.0,-0.053,-0.066,0.173
172,1,delta_questionsAsked_private,390.0,0.241,38.0,0.553,0.066,0.176
183,5,delta_emojisUsed_group,390.0,-0.131,38.0,0.421,0.065,0.178
102,1,emojisUsed_private,390.0,0.272,38.0,0.526,0.065,0.182
14,4,diary,390.0,2.669,38.0,0.763,-0.064,0.187
122,0,mentionedTracker_group,390.0,0.044,38.0,0.0,-0.063,0.19
49,4,delta_numberEvents,390.0,-2.856,38.0,-4.842,-0.063,0.191
34,3,weight,390.0,2.697,38.0,2.053,-0.063,0.194
44,6,numberEvents,390.0,5.731,38.0,3.763,-0.062,0.199
5,2,article,390.0,4.159,38.0,3.553,-0.061,0.205
48,3,delta_numberEvents,390.0,-5.864,38.0,-7.921,-0.06,0.218
130,1,mentionedTracker_private,390.0,0.038,38.0,0.0,-0.059,0.219
108,0,mentionedScales_group,390.0,0.082,38.0,0.026,-0.059,0.22
7,4,article,390.0,3.244,38.0,2.658,-0.057,0.237
9,6,article,390.0,2.579,38.0,1.974,-0.057,0.242
32,1,weight,390.0,4.664,38.0,3.895,-0.056,0.247
50,5,delta_numberEvents,390.0,-1.174,38.0,0.316,0.055,0.256
203,4,delta_mentionedScales_private,390.0,0.005,38.0,0.053,0.055,0.257
162,5,delta_sentiment_private,390.0,0.004,38.0,0.017,0.054,0.265
163,6,delta_sentiment_private,390.0,0.001,38.0,-0.007,-0.054,0.267
38,0,numberEvents,390.0,7.969,38.0,6.211,-0.053,0.273
118,3,mentionedScales_private,390.0,0.031,38.0,0.0,-0.053,0.274
78,5,sentiment_private,81.0,0.133,11.0,0.188,0.114,0.281
107,6,emojisUsed_private,390.0,0.108,38.0,0.237,0.052,0.287
112,4,mentionedScales_group,390.0,0.072,38.0,0.026,-0.051,0.288
132,3,mentionedTracker_private,390.0,0.028,38.0,0.0,-0.051,0.295
23,6,message,390.0,3.141,38.0,4.421,0.05,0.299
92,5,questionsAsked_private,390.0,0.159,38.0,0.289,0.05,0.303
37,6,weight,390.0,1.508,38.0,1.105,-0.049,0.309
64,5,messageCount_private,390.0,0.767,38.0,1.184,0.049,0.312
109,1,mentionedScales_group,390.0,0.103,38.0,0.053,-0.048,0.324
202,3,delta_mentionedScales_private,390.0,-0.01,38.0,-0.053,-0.047,0.33
124,2,mentionedTracker_group,390.0,0.026,38.0,0.053,0.047,0.337
33,2,weight,390.0,3.308,38.0,2.816,-0.046,0.341
12,2,diary,390.0,9.138,38.0,11.316,0.046,0.346
159,2,delta_sentiment_private,390.0,-0.005,38.0,0.016,0.045,0.352
69,3,sentiment_group,257.0,0.163,21.0,0.136,-0.056,0.355
43,5,numberEvents,390.0,6.874,38.0,5.421,-0.044,0.365
125,3,mentionedTracker_group,390.0,0.021,38.0,0.0,-0.043,0.374
129,0,mentionedTracker_private,390.0,0.021,38.0,0.0,-0.043,0.374
35,4,weight,390.0,2.031,38.0,1.684,-0.042,0.39
142,6,delta_messageCount_group,390.0,-1.203,38.0,-0.579,0.041,0.396
1,height,userData,390.0,168.64,38.0,170.263,0.041,0.397
176,5,delta_questionsAsked_private,390.0,-0.082,38.0,0.053,0.041,0.401
6,3,article,390.0,3.856,38.0,3.447,-0.04,0.41
160,3,delta_sentiment_private,390.0,0.009,38.0,-0.008,-0.04,0.414
194,2,delta_mentionedScales_group,390.0,0.0,38.0,-0.053,-0.039,0.417
106,5,emojisUsed_private,390.0,0.103,38.0,0.184,0.038,0.433
68,2,sentiment_group,302.0,0.163,25.0,0.141,-0.043,0.434
16,6,diary,390.0,1.628,38.0,0.684,-0.038,0.436
131,2,mentionedTracker_private,390.0,0.015,38.0,0.0,-0.037,0.442
149,6,delta_messageCount_private,390.0,-0.144,38.0,0.158,0.037,0.449
63,4,messageCount_private,390.0,1.244,38.0,1.658,0.036,0.456
153,3,delta_sentiment_group,390.0,-0.002,38.0,-0.018,-0.036,0.456
29,5,recipe,390.0,0.136,38.0,0.0,-0.035,0.466
70,4,sentiment_group,218.0,0.166,19.0,0.19,0.045,0.486
187,2,delta_emojisUsed_private,390.0,0.085,38.0,0.237,0.034,0.487
215,2,delta_mentionedTracker_private,390.0,-0.023,38.0,0.0,0.033,0.494
98,4,emojisUsed_group,390.0,1.069,38.0,0.711,-0.033,0.495
165,1,delta_questionsAsked_group,390.0,1.1,38.0,0.763,-0.033,0.496
196,4,delta_mentionedScales_group,390.0,-0.013,38.0,-0.053,-0.033,0.498
184,6,delta_emojisUsed_group,390.0,-0.203,38.0,-0.447,-0.032,0.503
217,4,delta_mentionedTracker_private,390.0,-0.021,38.0,0.0,0.032,0.503
113,5,mentionedScales_group,390.0,0.054,38.0,0.079,0.031,0.522
28,4,recipe,390.0,0.105,38.0,0.0,-0.031,0.526
128,6,mentionedTracker_group,390.0,0.01,38.0,0.0,-0.03,0.532
212,6,delta_mentionedTracker_group,390.0,0.01,38.0,0.0,-0.03,0.532
180,2,delta_emojisUsed_group,390.0,-1.113,38.0,-1.605,-0.03,0.534
147,4,delta_messageCount_private,390.0,-0.141,38.0,0.263,0.03,0.534
73,0,sentiment_private,141.0,0.164,13.0,0.194,0.05,0.538
138,2,delta_messageCount_group,390.0,-4.138,38.0,-5.263,-0.03,0.539
46,1,delta_numberEvents,390.0,11.541,38.0,13.132,0.029,0.55
210,4,delta_mentionedTracker_group,390.0,-0.015,38.0,0.0,0.029,0.553
58,6,messageCount_group,390.0,2.49,38.0,3.053,0.028,0.557
80,0,questionsAsked_group,390.0,0.759,38.0,0.921,0.028,0.562
177,6,delta_questionsAsked_private,390.0,-0.056,38.0,0.026,0.028,0.566
18,1,message,390.0,15.897,38.0,17.605,0.027,0.572
47,2,delta_numberEvents,390.0,-2.741,38.0,-1.474,0.027,0.577
0,age,userData,390.0,47.515,38.0,46.105,-0.027,0.579
133,4,mentionedTracker_private,390.0,0.008,38.0,0.0,-0.026,0.588
135,6,mentionedTracker_private,390.0,0.008,38.0,0.0,-0.026,0.588
30,6,recipe,390.0,0.015,38.0,0.0,-0.026,0.588
151,1,delta_sentiment_group,390.0,-0.007,38.0,-0.021,-0.026,0.591
161,4,delta_sentiment_private,390.0,-0.007,38.0,0.001,0.026,0.592
27,3,recipe,390.0,0.215,38.0,0.079,-0.026,0.596
156,6,delta_sentiment_group,390.0,0.009,38.0,0.018,0.026,0.599
141,5,delta_messageCount_group,390.0,-0.992,38.0,-0.553,0.025,0.604
